Name,Street Address,City,State,ZIP,Latitude,Longitude,University Attended
Emily Carter,1423 Maple St,Ames,IA,50010,42.03472,-93.615111,University of Northern Iowa
Jacob Thompson,875 Lincoln Way,Ames,IA,50014,42.050649,-93.635328,University of Iowa
Olivia Bennett,2314 Oak Ave,Des Moines,IA,50310,41.572484,-93.628433,Iowa State University
Noah Reynolds,992 Cherry St,Des Moines,IA,50315,41.570414,-93.61234,Drake University
Ava Mitchell,417 Walnut St,Cedar Rapids,IA,52402,41.962975,-91.647563,University of Northern Iowa
Liam Parker,1833 Forest Dr,Cedar Rapids,IA,52405,41.985881,-91.663218,Drake University
Sophia Collins,726 River Rd,Iowa City,IA,52240,41.672217,-91.53662,Iowa State University
Ethan Stewart,214 Highland Ave,Iowa City,IA,52245,41.667888,-91.519016,Drake University
Isabella Morris,1552 Prairie View Dr,Davenport,IA,52803,41.513217,-90.590688,Drake University
Mason Hughes,3409 Elm St,Davenport,IA,52806,41.522171,-90.583899,Drake University
Mia Foster,812 Sunset Blvd,Sioux City,IA,51104,42.501184,-96.409184,Iowa State University
Lucas Simmons,1298 Jackson St,Sioux City,IA,51106,42.493639,-96.393946,University of Northern Iowa
Charlotte Price,2207 Park Ave,Waterloo,IA,50701,42.486023,-92.332098,University of Northern Iowa
Benjamin Ward,3016 Franklin St,Waterloo,IA,50702,42.483358,-92.32347,University of Northern Iowa
Amelia Cox,478 Meadow Ln,Dubuque,IA,52001,42.489756,-90.681849,University of Iowa
Henry Richardson,1195 Locust St,Dubuque,IA,52003,42.50379,-90.650149,University of Iowa
Harper Howard,2518 Spruce St,Ankeny,IA,50023,41.728992,-93.60857,Iowa State University
Alexander Brooks,347 Valley Dr,Ankeny,IA,50021,41.722843,-93.594139,Iowa State University
Evelyn Powell,1890 North St,Urbandale,IA,50322,41.645773,-93.694358,Iowa State University
Michael Long,625 Woodland Ave,Urbandale,IA,50323,41.609932,-93.717052,University of Iowa
Abigail Patterson,412 Center St,Waukee,IA,50263,41.617194,-93.871645,University of Northern Iowa
Daniel Gray,1335 Ash St,Waukee,IA,50263,41.600777,-93.872406,University of Northern Iowa
Ella Ramirez,918 Hillcrest Dr,Marshalltown,IA,50158,42.064918,-92.910546,Iowa State University
Matthew James,2714 Main St,Marshalltown,IA,50158,42.062339,-92.913641,Iowa State University
Scarlett Watson,654 South St,Burlington,IA,52601,40.822209,-91.095241,Drake University
Joseph Brooks,1439 Vine St,Burlington,IA,52601,40.821341,-91.107907,University of Iowa
Victoria Kelly,2874 West St,Mason City,IA,50401,43.147206,-93.215487,Drake University
Samuel Sanders,736 Willow Dr,Mason City,IA,50401,43.145232,-93.182932,Drake University
Grace Butler,1985 Ridge Rd,Clinton,IA,52732,41.85137,-90.179231,Drake University
David Barnes,440 Lakeview Ave,Clinton,IA,52732,41.859664,-90.204753,Drake University
Chloe Fisher,3152 Adams St,Newton,IA,50208,41.697266,-93.045828,Iowa State University
Andrew Henderson,904 Madison Ave,Newton,IA,50208,41.715253,-93.036063,Iowa State University
Penelope Coleman,1507 Jefferson St,Boone,IA,50036,42.064588,-93.9,Drake University
Christopher Simmons,621 Story St,Boone,IA,50036,42.073859,-93.875197,Iowa State University
Riley Perry,2780 Greenfield Dr,Fort Dodge,IA,50501,42.511819,-94.206779,Iowa State University
Joshua Powell,813 10th Ave N,Fort Dodge,IA,50501,42.490843,-94.199294,Drake University
Lillian Russell,492 Westview Dr,Ottumwa,IA,52501,41.002097,-92.417608,University of Northern Iowa
Ryan Griffin,1102 Court St,Ottumwa,IA,52501,41.030621,-92.426233,Drake University
Nora Diaz,1856 Lakeshore Dr,Muscatine,IA,52761,41.433702,-91.031071,Iowa State University
Nathan Hayes,732 Mulberry Ave,Muscatine,IA,52761,41.420009,-91.048095,University of Northern Iowa
Hannah Myers,2640 Pleasant St,Bettendorf,IA,52722,41.513347,-90.50267,Drake University
Aaron Ford,917 Grant St,Bettendorf,IA,52722,41.538116,-90.497547,University of Northern Iowa
Zoey Hamilton,1448 River Bend Rd,Coralville,IA,52241,41.691811,-91.570066,Drake University
Justin Graham,332 Holiday Rd,Coralville,IA,52241,41.683155,-91.584401,University of Northern Iowa
Leah Sullivan,2098 Orchard Ln,North Liberty,IA,52317,41.766805,-91.616543,Iowa State University
Brandon Wallace,785 Cedar Springs Dr,North Liberty,IA,52317,41.742785,-91.601648,Iowa State University
Audrey Woods,1634 Sycamore St,Altoona,IA,50009,41.644781,-93.471472,University of Iowa
Tyler West,920 8th St SW,Altoona,IA,50009,41.644873,-93.474118,University of Northern Iowa
Brooklyn Cole,2455 Timberline Dr,Johnston,IA,50131,41.656869,-93.686044,University of Iowa
Kevin Bryant,1189 NW 62nd Ave,Johnston,IA,50131,41.658967,-93.694481,University of Iowa
