Name,Street Address,City,State,ZIP,Latitude,Longitude,University
Person 1,1924 Example St,Davenport,IA,52803,41.524663,-90.593863,University of Northern Iowa
Person 2,509 Example St,Urbandale,IA,50322,41.637351,-93.707157,Drake University
Person 3,4606 Example St,Sioux City,IA,51104,42.4862,-96.300401,Iowa State University
Person 4,4112 Example St,Urbandale,IA,50322,41.625476,-93.740909,University of Iowa
Person 5,3757 Example St,Iowa City,IA,52240,41.690277,-91.584716,Iowa State University
Person 6,2386 Example St,Des Moines,IA,50310,41.609208,-93.636676,University of Iowa
Person 7,1779 Example St,Ames,IA,50010,42.019238,-93.608288,Drake University
Person 8,9035 Example St,Iowa City,IA,52240,41.667038,-91.502892,University of Iowa
Person 9,1524 Example St,Davenport,IA,52803,41.568028,-90.638545,University of Northern Iowa
Person 10,9774 Example St,Des Moines,IA,50310,41.60686,-93.648974,University of Northern Iowa
Person 11,7012 Example St,Iowa City,IA,52240,41.660434,-91.554628,University of Northern Iowa
Person 12,620 Example St,Des Moines,IA,50310,41.627189,-93.585706,University of Iowa
Person 13,588 Example St,Waterloo,IA,50701,42.537052,-92.370156,Iowa State University
Person 14,1635 Example St,Davenport,IA,52803,41.515284,-90.573749,University of Iowa
Person 15,3682 Example St,Dubuque,IA,52001,42.521926,-90.701139,University of Iowa
Person 16,3911 Example St,Sioux City,IA,51104,42.54291,-96.318192,University of Northern Iowa
Person 17,8379 Example St,Cedar Rapids,IA,52402,41.973945,-91.713869,University of Iowa
Person 18,9963 Example St,Sioux City,IA,51104,42.458565,-96.377101,University of Iowa
Person 19,534 Example St,Sioux City,IA,51104,42.547798,-96.370094,Iowa State University
Person 20,9295 Example St,Iowa City,IA,52240,41.638987,-91.552472,Iowa State University
Person 21,3357 Example St,Davenport,IA,52803,41.526506,-90.562757,Drake University
Person 22,9028 Example St,Des Moines,IA,50310,41.626436,-93.560663,Iowa State University
Person 23,6973 Example St,Urbandale,IA,50322,41.635647,-93.710101,University of Northern Iowa
Person 24,3711 Example St,Cedar Rapids,IA,52402,41.99381,-91.672364,University of Iowa
Person 25,7459 Example St,Ankeny,IA,50023,41.712395,-93.643597,University of Iowa
Person 26,9754 Example St,Iowa City,IA,52240,41.671182,-91.576989,Iowa State University
Person 27,4657 Example St,Cedar Rapids,IA,52402,41.950719,-91.643824,University of Iowa
Person 28,206 Example St,Dubuque,IA,52001,42.496026,-90.659458,University of Northern Iowa
Person 29,2715 Example St,Waterloo,IA,50701,42.457086,-92.3762,Drake University
Person 30,7024 Example St,Davenport,IA,52803,41.521424,-90.636769,Drake University
Person 31,5674 Example St,Ankeny,IA,50023,41.71215,-93.602703,Drake University
Person 32,4652 Example St,Iowa City,IA,52240,41.643329,-91.590307,Drake University
Person 33,2647 Example St,Sioux City,IA,51104,42.48543,-96.388335,University of Iowa
Person 34,3627 Example St,Ames,IA,50010,42.033668,-93.581108,University of Iowa
Person 35,5614 Example St,Iowa City,IA,52240,41.634243,-91.527179,University of Iowa
Person 36,1774 Example St,Ames,IA,50010,42.012433,-93.636685,Drake University
Person 37,1619 Example St,Sioux City,IA,51104,42.464018,-96.422477,Drake University
Person 38,6324 Example St,Waterloo,IA,50701,42.474981,-92.307673,Drake University
Person 39,1684 Example St,Davenport,IA,52803,41.580802,-90.564403,University of Iowa
Person 40,5981 Example St,Des Moines,IA,50310,41.535059,-93.550108,University of Iowa
Person 41,5735 Example St,Iowa City,IA,52240,41.69783,-91.507363,Iowa State University
Person 42,9991 Example St,Urbandale,IA,50322,41.608316,-93.701436,Iowa State University
Person 43,4433 Example St,Sioux City,IA,51104,42.536465,-96.314634,Iowa State University
Person 44,811 Example St,Iowa City,IA,52240,41.656528,-91.501469,University of Northern Iowa
Person 45,7627 Example St,Dubuque,IA,52001,42.544856,-90.671487,University of Northern Iowa
Person 46,8885 Example St,Waterloo,IA,50701,42.492301,-92.304268,Drake University
Person 47,2145 Example St,Dubuque,IA,52001,42.490836,-90.720329,University of Iowa
Person 48,6301 Example St,Cedar Rapids,IA,52402,42.007918,-91.668671,University of Northern Iowa
Person 49,1391 Example St,Davenport,IA,52803,41.505717,-90.591582,Iowa State University
Person 50,9144 Example St,Cedar Rapids,IA,52402,41.955688,-91.673826,Iowa State University
